Nreps,1,10,30,20,
-3avg,2.52248,2.50224,2.50371,2.5317,
-3std,nan,0.0841011,0.0909529,0.133658,
-2avg,1.4278,1.47116,1.48746,1.48476,
-2std,nan,0.0863338,0.105442,0.119128,
-1avg,-0.992314,-0.982222,-0.98062,-0.986061,
-1std,nan,0.013332,0.0205613,0.0126973,
1avg,15,15,14.2,14.95,
1std,nan,2.16025,3.87209,3.74833,
2avg,4,3.3,3,2.5,
2std,nan,2.45176,1.81944,1.23544,
3avg,0,0.7,0.6,0.9,
3std,0,1.05935,0.723974,1.02084,
4avg,0,0.1,0.2,0.1,
4std,0,0.316228,0.406838,0.307794,
5avg,0,0,0.0333333,0,
5std,0,0,0.182574,0,
