Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,      10avg,      10std,      11avg,      11std,     
5          ,4.9462840  ,0.0176694  ,4.5404779  ,0.0097425  ,-0.2993271 ,0.0067002  ,2169.4000000,35.4372685 ,453.4000000,34.1218405 ,99.8000000 ,14.4464529 ,25.2000000 ,2.8635642  ,4.2000000  ,1.3038405  ,0.6000000  ,0.8944272  ,0.2000000  ,0.4472136  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
15         ,4.9435313  ,0.0190573  ,4.5407288  ,0.0098309  ,-0.2978782 ,0.0092274  ,2142.0666667,33.4332313 ,458.3333333,17.0824332 ,107.9333333,8.5729364  ,22.9333333 ,3.9363991  ,4.6000000  ,2.0632845  ,0.8000000  ,1.2071217  ,0.5333333  ,0.9154754  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,4.9408342  ,0.0144473  ,4.5383412  ,0.0123244  ,-0.2977161 ,0.0144259  ,2149.0500000,41.6507724 ,457.7500000,21.7010187 ,105.2000000,10.3242178 ,22.2000000 ,5.2675771  ,5.2000000  ,2.4408799  ,1.1000000  ,0.7880689  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,0          ,0          ,
10         ,4.9416761  ,0.0139170  ,4.5382495  ,0.0134478  ,-0.2974408 ,0.0114544  ,2167.6000000,44.6447708 ,458.6000000,26.8087879 ,100.4000000,8.6564042  ,23.1000000 ,6.2795966  ,5.5000000  ,3.3082389  ,1.0000000  ,1.0540926  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.9410688  ,0.0111594  ,4.5339808  ,0.0156627  ,-0.2933382 ,0.0097071  ,2157.1000000,58.5917135 ,468.9000000,14.0984633 ,105.5000000,8.7717982  ,24.3000000 ,5.5787294  ,4.2000000  ,2.0976177  ,0.6000000  ,0.6992059  ,0.3000000  ,0.4830459  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,0.0000000  ,0.0000000  ,0.1000000  ,0.3162278  ,
10         ,4.9324918  ,0.0132397  ,4.5324571  ,0.0212551  ,-0.2972235 ,0.0121819  ,2157.3000000,36.6365027 ,453.4000000,18.0628532 ,105.3000000,8.8950673  ,24.5000000 ,6.1508807  ,5.9000000  ,2.3309512  ,0.7000000  ,0.6749486  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.9338876  ,0.0109240  ,4.5408650  ,0.0162434  ,-0.2931184 ,0.0115167  ,2130.3000000,42.6016432 ,456.9000000,16.5425378 ,101.4000000,8.9839363  ,21.2000000 ,4.5898439  ,5.1000000  ,2.8460499  ,0.9000000  ,1.1972190  ,0.1000000  ,0.3162278  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.9437285  ,0.0114009  ,4.5345523  ,0.0122227  ,-0.2920627 ,0.0062427  ,2146.9000000,36.3545809 ,464.3000000,24.6713959 ,104.4000000,9.7205395  ,22.5000000 ,3.8078866  ,4.6000000  ,2.4585452  ,1.1000000  ,0.8755950  ,0.1000000  ,0.3162278  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,4.9432287  ,0.0155282  ,4.5393753  ,0.0200477  ,-0.2954186 ,0.0118774  ,2166.2000000,52.2914907 ,463.7000000,23.1423133 ,103.3000000,12.0282076 ,22.5000000 ,4.1163630  ,4.8000000  ,2.0976177  ,1.2000000  ,0.9189366  ,0.2000000  ,0.4216370  ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,4.9396585  ,0.0151631  ,4.5358044  ,0.0130740  ,-0.2974052 ,0.0107639  ,2157.0000000,41.8518691 ,463.6000000,27.2906385 ,98.2000000 ,10.2474644 ,22.4500000 ,3.8726436  ,5.0500000  ,2.1392325  ,1.0500000  ,1.0990426  ,0.1500000  ,0.3663475  ,0.1000000  ,0.3077935  ,0          ,0          ,0          ,0          ,0          ,0          ,
