Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,        9std,
10         ,4.9996354  ,0.0108055  ,4.5986373  ,0.0131418  ,-0.2979179 ,0.0113355  ,2202.1000000,48.0450021 ,478.7000000,14.7952695 ,109.2000000,8.7660963  ,23.2000000 ,4.2110965  ,5.8000000  ,2.5298221  ,1.5000000  ,1.2692955  ,0.1000000  ,0.3162278  ,0.0        ,0.0        ,0.0        ,0.0        ,
15         ,4.9977279  ,0.0129563  ,4.6014295  ,0.0137457  ,-0.2955491 ,0.0095679  ,2225.9333333,43.8902310 ,471.4000000,21.0672393 ,107.3333333,7.9522384  ,24.8000000 ,5.5831379  ,4.2666667  ,1.9073792  ,0.5333333  ,0.7432234  ,0.1333333  ,0.3518658  ,0.0666667  ,0.2581989  ,0.0666667  ,0.2581989  ,
3          ,4.9967107  ,0.0009817  ,4.5997777  ,0.0142190  ,-0.3086944 ,0.0047889  ,2208.3333333,16.0104133 ,490.6666667,9.2915732  ,110.0000000,2.0000000  ,25.6666667 ,5.5075705  ,4.3333333  ,1.5275252  ,0.3333333  ,0.5773503  ,0.3333333  ,0.5773503  ,0.0000000  ,0.0000000  ,0.3333333  ,0.5773503  ,
5          ,5.0009992  ,0.0098254  ,4.5902434  ,0.0183451  ,-0.2935633 ,0.0048294  ,2204.8000000,61.1244632 ,463.8000000,10.7563934 ,102.8000000,5.4037024  ,24.4000000 ,5.1768716  ,4.4000000  ,0.8944272  ,0.6000000  ,0.5477226  ,0.4000000  ,0.5477226  ,0          ,0          ,0          ,0          ,
5          ,5.0053450  ,0.0194651  ,4.5973519  ,0.0186880  ,-0.2993844 ,0.0098021  ,2204.8000000,55.9258438 ,462.4000000,21.2790977 ,113.4000000,7.7974355  ,24.8000000 ,4.6583259  ,5.6000000  ,1.6733201  ,1.0000000  ,0.7071068  ,0.8000000  ,1.0954451  ,0.2000000  ,0.4472136  ,0          ,0          ,
10         ,4.9968708  ,0.0111539  ,4.5970255  ,0.0151822  ,-0.2916979 ,0.0084281  ,2190.1000000,28.2073670 ,489.5000000,15.8201700 ,103.7000000,8.2737873  ,26.5000000 ,5.0607422  ,3.9000000  ,2.1832697  ,0.2000000  ,0.4216370  ,0.1000000  ,0.3162278  ,0.1000000  ,0.3162278  ,0          ,0          ,
20         ,4.9997460  ,0.0107243  ,4.5960726  ,0.0140659  ,-0.2972432 ,0.0104241  ,2229.0000000,42.0901289 ,475.5000000,22.5470269 ,107.0000000,9.8247807  ,23.8000000 ,5.4829880  ,5.1500000  ,3.0826339  ,1.0000000  ,0.9176629  ,0.3000000  ,0.7326951  ,0          ,0          ,0          ,0          ,
20         ,4.9947629  ,0.0123783  ,4.5994543  ,0.0131526  ,-0.2975399 ,0.0079509  ,2201.3000000,39.9079203 ,475.9000000,20.1178109 ,104.0000000,8.2270414  ,23.8500000 ,4.8479513  ,4.6000000  ,2.1373865  ,1.1500000  ,1.1821034  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,5.0048845  ,0.0179876  ,4.5986842  ,0.0093116  ,-0.2954179 ,0.0089082  ,2196.0500000,51.3127408 ,475.0000000,23.8504110 ,109.5500000,14.3360972 ,22.1500000 ,5.1633832  ,5.1000000  ,1.9166857  ,1.2000000  ,0.8944272  ,0.2500000  ,0.4442617  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
22         ,5.0036756  ,0.0114520  ,4.6021815  ,0.0123351  ,-0.2952113 ,0.0086571  ,2208.0909091,45.4426998 ,473.4545455,20.1818572 ,107.3636364,9.0266561  ,24.0454545 ,4.9036165  ,4.2272727  ,1.6015415  ,0.9090909  ,0.8111773  ,0.1818182  ,0.3947710  ,0.0909091  ,0.2942449  ,0          ,0          ,
30         ,5.0003574  ,0.0148481  ,4.5988205  ,0.0148956  ,-0.2961014 ,0.0087143  ,2213.5000000,42.3643881 ,475.2000000,24.1138106 ,107.1000000,9.1400973  ,23.9666667 ,4.2546796  ,5.5666667  ,2.2542425  ,0.9000000  ,0.9948141  ,0.2333333  ,0.4301831  ,0.0333333  ,0.1825742  ,0          ,0          ,
20         ,5.0040059  ,0.0169225  ,4.5961408  ,0.0137178  ,-0.3002810 ,0.0117827  ,2204.9000000,38.4555793 ,468.3000000,21.6870080 ,104.8500000,11.9352419 ,24.7000000 ,5.4781864  ,4.6000000  ,2.1126187  ,1.0000000  ,0.7947194  ,0.2000000  ,0.4103913  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
20         ,4.9971450  ,0.0100264  ,4.6000484  ,0.0136863  ,-0.2957679 ,0.0105983  ,2204.2500000,35.4844295 ,473.2000000,19.2260788 ,106.1500000,9.5766987  ,23.5000000 ,5.0523574  ,5.8500000  ,1.8144160  ,0.6500000  ,0.7451598  ,0.1500000  ,0.3663475  ,0          ,0          ,0          ,0          ,
