Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,     
20         ,6.7079810  ,0.0166839  ,6.2871812  ,0.0093172  ,-0.3022278 ,0.0069822  ,4041.2500000,50.8919133 ,851.5500000,25.7997858 ,197.7500000,15.3515814 ,41.7500000 ,6.4959502  ,9.1000000  ,2.5526044  ,2.0000000  ,1.4867839  ,0.3500000  ,0.5871429  ,0.0500000  ,0.2236068  ,
20         ,6.7002323  ,0.0094984  ,6.2909917  ,0.0105698  ,-0.2990216 ,0.0064089  ,4030.8000000,53.7847562 ,870.5000000,28.5242279 ,194.4000000,10.4850771 ,43.3000000 ,6.0358578  ,8.8500000  ,3.0482955  ,1.6000000  ,1.6351404  ,0.2500000  ,0.4442617  ,0          ,0          ,
20         ,6.7055816  ,0.0136591  ,6.2855074  ,0.0157909  ,-0.3009282 ,0.0093182  ,4019.7500000,47.7348764 ,857.8500000,40.0674103 ,189.8000000,14.9792839 ,45.1500000 ,6.5072834  ,8.7500000  ,3.1933319  ,2.3000000  ,1.4903196  ,0.2000000  ,0.4103913  ,0.0500000  ,0.2236068  ,
20         ,6.7043167  ,0.0158518  ,6.2876250  ,0.0160494  ,-0.3036872 ,0.0108529  ,4044.9000000,51.8549597 ,864.9000000,28.4381138 ,197.0000000,11.8366069 ,41.8500000 ,8.0998700  ,9.4500000  ,2.7999060  ,1.3500000  ,1.1367081  ,0.5500000  ,0.8255779  ,0.1000000  ,0.3077935  ,
20         ,6.7080472  ,0.0153653  ,6.2874195  ,0.0135897  ,-0.3008820 ,0.0082328  ,4034.3500000,69.8036909 ,863.9500000,23.1163533 ,193.4500000,14.9858705 ,44.6000000 ,6.2357205  ,9.5000000  ,3.9536792  ,1.6000000  ,1.3533584  ,0.3000000  ,0.4701623  ,0.0500000  ,0.2236068  ,
20         ,6.7015132  ,0.0107902  ,6.2856940  ,0.0135548  ,-0.2999811 ,0.0078103  ,4037.2500000,70.6241907 ,859.8500000,23.9610979 ,198.8000000,18.3779044 ,42.9000000 ,5.6652217  ,8.7000000  ,3.3576307  ,1.7500000  ,1.8883298  ,0.4000000  ,0.5982430  ,0.1000000  ,0.3077935  ,
20         ,6.7088506  ,0.0150399  ,6.2875663  ,0.0105197  ,-0.3019355 ,0.0096394  ,4063.7000000,63.3287995 ,860.0500000,37.2706672 ,194.0000000,11.9163753 ,43.9500000 ,7.5147224  ,8.7500000  ,3.3066918  ,1.3500000  ,1.1821034  ,0.4500000  ,0.7591547  ,0          ,0          ,
20         ,6.7118901  ,0.0188656  ,6.2901394  ,0.0110428  ,-0.3021346 ,0.0084714  ,4034.0500000,53.7542899 ,856.7500000,24.0785447 ,198.3000000,16.2839928 ,41.5000000 ,6.1430320  ,8.6000000  ,2.9271865  ,1.3000000  ,0.9233805  ,0.3500000  ,0.5871429  ,0          ,0          ,
20         ,6.7064927  ,0.0096211  ,6.2837201  ,0.0156033  ,-0.2992205 ,0.0056054  ,4045.3000000,65.3332349 ,858.4000000,32.5081366 ,195.8000000,16.1199451 ,43.0500000 ,6.8015091  ,8.7000000  ,1.9761739  ,1.5500000  ,1.1909748  ,0.4000000  ,0.5026247  ,0.0500000  ,0.2236068  ,
20         ,6.7052232  ,0.0139444  ,6.2864498  ,0.0112582  ,-0.3010719 ,0.0095143  ,4029.4000000,50.8738378 ,859.1500000,34.6383952 ,190.8000000,11.4367828 ,44.0500000 ,7.5147224  ,8.5500000  ,2.6051568  ,1.9000000  ,1.4832397  ,0.3000000  ,0.4701623  ,0.0500000  ,0.2236068  ,
