Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,     
20         ,6.8811159  ,0.0120384  ,6.4552037  ,0.0109767  ,-0.3026521 ,0.0114823  ,4272.8000000,63.9823989 ,899.6500000,27.8629635 ,202.5500000,18.4147395 ,45.4500000 ,7.3447081  ,8.5000000  ,3.0174929  ,1.2500000  ,1.5174424  ,0.5500000  ,0.7591547  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.8741843  ,0.0137416  ,6.4569737  ,0.0098583  ,-0.3018502 ,0.0111951  ,4273.5500000,61.9808757 ,898.4500000,29.2529351 ,199.8500000,12.7909302 ,42.5500000 ,5.7167805  ,8.7500000  ,2.1734038  ,1.9000000  ,1.3726655  ,0.6000000  ,0.8825800  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.8781535  ,0.0105562  ,6.4592212  ,0.0144296  ,-0.3016556 ,0.0083574  ,4272.6000000,56.3517151 ,916.7500000,28.8241036 ,201.0000000,18.4248116 ,44.3500000 ,5.9051717  ,9.9500000  ,3.6051863  ,1.7000000  ,1.2607433  ,0.3500000  ,0.5871429  ,0          ,0          ,0          ,0          ,
20         ,6.8765359  ,0.0140518  ,6.4651135  ,0.0134024  ,-0.2983648 ,0.0081176  ,4246.8000000,46.8239705 ,907.6500000,20.7929011 ,198.9500000,10.4401805 ,43.3000000 ,5.4299365  ,8.9000000  ,2.4039441  ,1.8000000  ,1.3218806  ,0.4500000  ,0.6863327  ,0          ,0          ,0          ,0          ,
20         ,6.8733225  ,0.0118408  ,6.4612254  ,0.0078815  ,-0.3022962 ,0.0077764  ,4265.3000000,51.1757550 ,905.1000000,29.3004401 ,202.0500000,14.1921958 ,43.2500000 ,7.3116706  ,9.7000000  ,3.5555738  ,1.5500000  ,1.3562720  ,0.2500000  ,0.4442617  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.8803560  ,0.0205441  ,6.4553989  ,0.0159869  ,-0.2992912 ,0.0062822  ,4273.1500000,77.5610286 ,890.1000000,23.3844303 ,207.3500000,14.4195591 ,43.4500000 ,7.5287170  ,8.8000000  ,2.9841688  ,2.7500000  ,1.2085224  ,0.5000000  ,0.7608859  ,0          ,0          ,0          ,0          ,
20         ,6.8727194  ,0.0093921  ,6.4515768  ,0.0161394  ,-0.3024842 ,0.0118158  ,4258.1000000,44.6635375 ,905.2500000,28.9843424 ,204.8500000,11.7843563 ,43.8000000 ,6.9251639  ,8.8500000  ,3.0135658  ,2.0000000  ,1.3377121  ,0.0500000  ,0.2236068  ,0.1000000  ,0.3077935  ,0          ,0          ,
20         ,6.8767403  ,0.0153530  ,6.4568471  ,0.0150151  ,-0.3035466 ,0.0075715  ,4249.9500000,67.4922803 ,913.7000000,34.5361748 ,202.0000000,15.7780661 ,45.0000000 ,7.5463480  ,9.1500000  ,3.2650461  ,1.4500000  ,1.1459310  ,0.5000000  ,0.8271702  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.8763145  ,0.0151164  ,6.4606063  ,0.0124293  ,-0.3012457 ,0.0098873  ,4259.7000000,51.2877332 ,914.5000000,33.6897611 ,206.1500000,16.3683745 ,42.2500000 ,8.6015604  ,9.0000000  ,3.9068092  ,2.1000000  ,1.4832397  ,0.3000000  ,0.5712406  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
20         ,6.8766507  ,0.0128962  ,6.4562594  ,0.0124884  ,-0.3015464 ,0.0092701  ,4261.9500000,64.1548087 ,905.1000000,24.1658742 ,206.8000000,19.1794847 ,45.3000000 ,5.2625789  ,10.0000000 ,2.8837111  ,1.6000000  ,1.5355438  ,0.5000000  ,0.7608859  ,0          ,0          ,0          ,0          ,
