Nreps,      -3avg,      -3std,      -2avg,      -2std,      -1avg,      -1std,       1avg,       1std,       2avg,       2std,       3avg,       3std,       4avg,       4std,       5avg,       5std,       6avg,       6std,       7avg,       7std,       8avg,       8std,       9avg,       9std,      10avg,      10std,     
10         ,6.9274974  ,0.0119050  ,6.4954003  ,0.0096722  ,-0.3136921 ,0.0126269  ,4311.6000000,59.9688808 ,902.0000000,33.6121671 ,207.4000000,17.3217910 ,48.0000000 ,7.7459667  ,8.6000000  ,2.7568098  ,2.0000000  ,1.6329932  ,0.3000000  ,0.6749486  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.9212048  ,0.0125474  ,6.4938391  ,0.0122501  ,-0.3026396 ,0.0072888  ,4322.6000000,65.2818988 ,913.1500000,22.0675399 ,202.6500000,14.6584806 ,45.3000000 ,5.0063118  ,8.9000000  ,2.2918620  ,2.2500000  ,1.7129537  ,0.8000000  ,0.9514532  ,0.0500000  ,0.2236068  ,0.0000000  ,0.0000000  ,0.0500000  ,0.2236068  ,
20         ,6.9143534  ,0.0115251  ,6.4991636  ,0.0167412  ,-0.2982958 ,0.0087413  ,4311.9000000,56.0177603 ,922.2500000,27.5640403 ,208.6000000,17.5361281 ,43.3500000 ,7.1544980  ,8.8500000  ,3.2163235  ,1.6000000  ,0.9947229  ,0.2500000  ,0.4442617  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,
20         ,6.9179511  ,0.0141015  ,6.4978594  ,0.0143859  ,-0.2986836 ,0.0079798  ,4305.7500000,60.9373060 ,917.6000000,21.0723066 ,210.4500000,16.9968263 ,44.0000000 ,6.2911801  ,8.2500000  ,2.5520889  ,2.0500000  ,2.0641042  ,0.5000000  ,0.6069770  ,0.1500000  ,0.3663475  ,0          ,0          ,0          ,0          ,
20         ,6.9202262  ,0.0132614  ,6.4971392  ,0.0159507  ,-0.3035722 ,0.0093454  ,4308.0500000,55.6960501 ,918.3000000,31.4209116 ,203.1000000,16.0915146 ,43.9500000 ,6.7001571  ,9.0000000  ,3.4641016  ,1.9500000  ,1.1459310  ,0.1500000  ,0.3663475  ,0.0500000  ,0.2236068  ,0.0500000  ,0.2236068  ,0          ,0          ,
20         ,6.9190512  ,0.0152360  ,6.4976135  ,0.0125146  ,-0.2972508 ,0.0085733  ,4276.9500000,58.9357143 ,916.8000000,28.7248288 ,205.6000000,12.8775611 ,44.3500000 ,7.0879809  ,10.2500000 ,3.3541020  ,1.6500000  ,0.8750940  ,0.3500000  ,0.5871429  ,0          ,0          ,0          ,0          ,0          ,0          ,
20         ,6.9140545  ,0.0107798  ,6.4962732  ,0.0136593  ,-0.3003466 ,0.0090686  ,4298.3000000,57.3934711 ,927.8000000,35.5610668 ,203.9000000,12.2384210 ,46.3000000 ,5.1411651  ,9.3500000  ,2.7390932  ,1.9500000  ,1.5035047  ,0.3000000  ,0.4701623  ,0.1000000  ,0.3077935  ,0          ,0          ,0          ,0          ,
20         ,6.9202832  ,0.0127154  ,6.5023593  ,0.0125839  ,-0.3004637 ,0.0090799  ,4290.2500000,53.4237036 ,913.4500000,28.4521297 ,210.9000000,14.2529775 ,46.4000000 ,6.2777804  ,9.6000000  ,3.2831307  ,1.6500000  ,1.0399899  ,0.4500000  ,0.5104178  ,0.1000000  ,0.3077935  ,0          ,0          ,0          ,0          ,
20         ,6.9234624  ,0.0154380  ,6.5004597  ,0.0112902  ,-0.2997766 ,0.0072569  ,4289.5500000,63.8695010 ,925.8000000,25.1806108 ,203.3500000,18.3941495 ,46.8000000 ,6.7947348  ,10.7000000 ,2.6177532  ,1.9000000  ,1.0711528  ,0.4500000  ,0.7591547  ,0.0500000  ,0.2236068  ,0          ,0          ,0          ,0          ,
20         ,6.9198667  ,0.0142169  ,6.4976572  ,0.0138512  ,-0.3012786 ,0.0091310  ,4311.2000000,69.3986197 ,909.3500000,23.5958850 ,206.9500000,10.6941942 ,46.8500000 ,6.5716697  ,9.8500000  ,2.9960500  ,2.4000000  ,1.2732057  ,0.3000000  ,0.4701623  ,0          ,0          ,0          ,0          ,0          ,0          ,
10         ,6.9151705  ,0.0113013  ,6.5006230  ,0.0168579  ,-0.2989573 ,0.0070434  ,4361.3000000,53.2625572 ,913.5000000,41.6633332 ,197.0000000,15.9094661 ,43.7000000 ,7.5872700  ,9.2000000  ,3.5213634  ,2.0000000  ,1.1547005  ,0.4000000  ,0.5163978  ,0.1000000  ,0.3162278  ,0          ,0          ,0          ,0          ,
